date,fiscalyear,item,itemid,normalization,normid,val
1868,1867/1868,Canada savings bonds,312,Real dollars (millions),5,0
1868,1867/1868,Cash deficit (+) or surplus (-),530,Nominal dollars (millions),1,0
1868,1867/1868,Cash deficit (+) or surplus (-),530,Percent of GDP,2,0
1868,1867/1868,Cash deficit (+) or surplus (-),530,Percent of total revenue,3,0
1868,1867/1868,Cash deficit (+) or surplus (-),530,Real per capita dollars,4,0
1868,1867/1868,Cash deficit (+) or surplus (-),530,Real dollars (millions),5,0
1868,1867/1868,Financial assets,200,Nominal dollars (millions),1,21
1868,1867/1868,Financial assets,200,Percent of GDP,2,5.5526376
1868,1867/1868,Financial assets,200,Percent of total revenue,3,150
1868,1867/1868,Financial assets,200,Real per capita dollars,4,187.3333
1868,1867/1868,Financial assets,200,Real dollars (millions),5,657.32587
1868,1867/1868,Gross federal debt,300,Nominal dollars (millions),1,97
1868,1867/1868,Gross federal debt,300,Percent of GDP,2,25.647898
1868,1867/1868,Gross federal debt,300,Percent of total revenue,3,692.85712
1868,1867/1868,Gross federal debt,300,Real per capita dollars,4,865.30139
1868,1867/1868,Gross federal debt,300,Real dollars (millions),5,3036.2195
1868,1867/1868,Interest on the debt,521,Nominal dollars (millions),1,4
1868,1867/1868,Interest on the debt,521,Percent of GDP,2,1.0576452
1868,1867/1868,Interest on the debt,521,Percent of total revenue,3,28.571428
1868,1867/1868,Interest on the debt,521,Real per capita dollars,4,35.682533
1868,1867/1868,Interest on the debt,521,Real dollars (millions),5,125.20493
1868,1867/1868,Marketable bonds,313,Nominal dollars (millions),1,73
1868,1867/1868,Marketable bonds,313,Percent of GDP,2,19.302025
1868,1867/1868,Marketable bonds,313,Percent of total revenue,3,521.42859
1868,1867/1868,Marketable bonds,313,Real per capita dollars,4,651.20624
1868,1867/1868,Marketable bonds,313,Real dollars (millions),5,2284.99
1868,1867/1868,Net federal debt,100,Nominal dollars (millions),1,76
1868,1867/1868,Net federal debt,100,Percent of GDP,2,20.095259
1868,1867/1868,Net federal debt,100,Percent of total revenue,3,542.85712
1868,1867/1868,Net federal debt,100,Real per capita dollars,4,677.96814
1868,1867/1868,Net federal debt,100,Real dollars (millions),5,2378.8936
1868,1867/1868,Other liabilities,330,Nominal dollars (millions),1,-73
1868,1867/1868,Other liabilities,330,Percent of GDP,2,-19.302025
1868,1867/1868,Other liabilities,330,Percent of total revenue,3,-521.42859
1868,1867/1868,Other liabilities,330,Real per capita dollars,4,-651.20624
1868,1867/1868,Other liabilities,330,Real dollars (millions),5,-2284.99
1868,1867/1868,Superannuation accounts,320,Nominal dollars (millions),1,0
1868,1867/1868,Superannuation accounts,320,Percent of GDP,2,0
1868,1867/1868,Superannuation accounts,320,Percent of total revenue,3,0
1868,1867/1868,Superannuation accounts,320,Real per capita dollars,4,0
1868,1867/1868,Superannuation accounts,320,Real dollars (millions),5,0
1868,1867/1868,Total expenditure,502,Nominal dollars (millions),1,14
1868,1867/1868,Total expenditure,502,Percent of GDP,2,3.7017584
1868,1867/1868,Total expenditure,502,Percent of total revenue,3,100
1868,1867/1868,Total expenditure,502,Real per capita dollars,4,124.88886
1868,1867/1868,Total expenditure,502,Real dollars (millions),5,438.21725
1868,1867/1868,Total revenue,501,Nominal dollars (millions),1,14
1868,1867/1868,Total revenue,501,Percent of GDP,2,3.7017584
1868,1867/1868,Total revenue,501,Percent of total revenue,3,100
1868,1867/1868,Total revenue,501,Real per capita dollars,4,124.88886
1868,1867/1868,Total revenue,501,Real dollars (millions),5,438.21725
1868,1867/1868,Treasury bills,311,Nominal dollars (millions),1,0
1868,1867/1868,Treasury bills,311,Percent of GDP,2,0
1868,1867/1868,Treasury bills,311,Percent of total revenue,3,0
1868,1867/1868,Treasury bills,311,Real per capita dollars,4,0
1868,1867/1868,Treasury bills,311,Real dollars (millions),5,0
1868,1867/1868,Unmatured debt,310,Nominal dollars (millions),1,73
1868,1867/1868,Unmatured debt,310,Percent of GDP,2,19.302025
1868,1867/1868,Unmatured debt,310,Percent of total revenue,3,521.42859
1868,1867/1868,Unmatured debt,310,Real per capita dollars,4,651.20624
1868,1867/1868,Unmatured debt,310,Real dollars (millions),5,2284.99
1868,1867/1868,Unmatured debt payable in foreign currencies,401,Nominal dollars (millions),1,67
1868,1867/1868,Unmatured debt payable in foreign currencies,401,Percent of GDP,2,17.715557
1868,1867/1868,Unmatured debt payable in foreign currencies,401,Percent of total revenue,3,478.57144
1868,1867/1868,Unmatured debt payable in foreign currencies,401,Real per capita dollars,4,597.68243
1868,1867/1868,Unmatured debt payable in foreign currencies,401,Real dollars (millions),5,2097.1826
1869,1868/1869,Canada savings bonds,312,Nominal dollars (millions),1,0
1869,1868/1869,Canada savings bonds,312,Percent of GDP,2,0
1869,1868/1869,Canada savings bonds,312,Percent of total revenue,3,0
1869,1868/1869,Canada savings bonds,312,Real per capita dollars,4,0
1869,1868/1869,Canada savings bonds,312,Real dollars (millions),5,0
1869,1868/1869,Cash deficit (+) or surplus (-),530,Nominal dollars (millions),1,1
1869,1868/1869,Cash deficit (+) or surplus (-),530,Percent of GDP,2,0.2604062
1869,1868/1869,Cash deficit (+) or surplus (-),530,Percent of total revenue,3,7.1428571
1869,1868/1869,Cash deficit (+) or surplus (-),530,Real per capita dollars,4,8.7855101
1869,1868/1869,Cash deficit (+) or surplus (-),530,Real dollars (millions),5,31.301233
1869,1868/1869,Financial assets,200,Nominal dollars (millions),1,36
1869,1868/1869,Financial assets,200,Percent of GDP,2,9.3746233
1869,1868/1869,Financial assets,200,Percent of total revenue,3,257.14285
1869,1868/1869,Financial assets,200,Real per capita dollars,4,316.27835
1869,1868/1869,Financial assets,200,Real dollars (millions),5,1126.8444
1869,1868/1869,Gross federal debt,300,Nominal dollars (millions),1,112
1869,1868/1869,Gross federal debt,300,Percent of GDP,2,29.165495
1869,1868/1869,Gross federal debt,300,Percent of total revenue,3,800
1869,1868/1869,Gross federal debt,300,Real per capita dollars,4,983.97711
1869,1868/1869,Gross federal debt,300,Real dollars (millions),5,3505.738
1869,1868/1869,Interest on the debt,521,Nominal dollars (millions),1,5
1869,1868/1869,Interest on the debt,521,Percent of GDP,2,1.302031
1869,1868/1869,Interest on the debt,521,Percent of total revenue,3,35.714287
1869,1868/1869,Interest on the debt,521,Real per capita dollars,4,43.927547
1869,1868/1869,Interest on the debt,521,Real dollars (millions),5,156.50616
1869,1868/1869,Marketable bonds,313,Nominal dollars (millions),1,89
1869,1868/1869,Marketable bonds,313,Percent of GDP,2,23.176151
1869,1868/1869,Marketable bonds,313,Percent of total revenue,3,635.71429
1869,1868/1869,Marketable bonds,313,Real per capita dollars,4,781.9104
1869,1868/1869,Marketable bonds,313,Real dollars (millions),5,2785.8096
1869,1868/1869,Net federal debt,100,Nominal dollars (millions),1,76
1869,1868/1869,Net federal debt,100,Percent of GDP,2,19.790871
1869,1868/1869,Net federal debt,100,Percent of total revenue,3,542.85712
1869,1868/1869,Net federal debt,100,Real per capita dollars,4,667.69873
1869,1868/1869,Net federal debt,100,Real dollars (millions),5,2378.8936
1869,1868/1869,Other liabilities,330,Nominal dollars (millions),1,-89
1869,1868/1869,Other liabilities,330,Percent of GDP,2,-23.176151
1869,1868/1869,Other liabilities,330,Percent of total revenue,3,-635.71429
1869,1868/1869,Other liabilities,330,Real per capita dollars,4,-781.9104
1869,1868/1869,Other liabilities,330,Real dollars (millions),5,-2785.8096
1869,1868/1869,Superannuation accounts,320,Nominal dollars (millions),1,0
1869,1868/1869,Superannuation accounts,320,Percent of GDP,2,0
1869,1868/1869,Superannuation accounts,320,Percent of total revenue,3,0
1869,1868/1869,Superannuation accounts,320,Real per capita dollars,4,0
1869,1868/1869,Superannuation accounts,320,Real dollars (millions),5,0
1869,1868/1869,Total expenditure,502,Nominal dollars (millions),1,15
1869,1868/1869,Total expenditure,502,Percent of GDP,2,3.9060931
1869,1868/1869,Total expenditure,502,Percent of total revenue,3,107.14286
1869,1868/1869,Total expenditure,502,Real per capita dollars,4,131.78265
1869,1868/1869,Total expenditure,502,Real dollars (millions),5,469.51849
1869,1868/1869,Total revenue,501,Nominal dollars (millions),1,14
1869,1868/1869,Total revenue,501,Percent of GDP,2,3.6456869
1869,1868/1869,Total revenue,501,Percent of total revenue,3,100
1869,1868/1869,Total revenue,501,Real per capita dollars,4,122.99714
1869,1868/1869,Total revenue,501,Real dollars (millions),5,438.21725
1869,1868/1869,Treasury bills,311,Nominal dollars (millions),1,0
1869,1868/1869,Treasury bills,311,Percent of GDP,2,0
1869,1868/1869,Treasury bills,311,Percent of total revenue,3,0
1869,1868/1869,Treasury bills,311,Real per capita dollars,4,0
1869,1868/1869,Treasury bills,311,Real dollars (millions),5,0
1869,1868/1869,Unmatured debt,310,Nominal dollars (millions),1,89
1869,1868/1869,Unmatured debt,310,Percent of GDP,2,23.176151
1869,1868/1869,Unmatured debt,310,Percent of total revenue,3,635.71429
1869,1868/1869,Unmatured debt,310,Real per capita dollars,4,781.9104
1869,1868/1869,Unmatured debt,310,Real dollars (millions),5,2785.8096
1869,1868/1869,Unmatured debt payable in foreign currencies,401,Nominal dollars (millions),1,76
1869,1868/1869,Unmatured debt payable in foreign currencies,401,Percent of GDP,2,19.790871
1869,1868/1869,Unmatured debt payable in foreign currencies,401,Percent of total revenue,3,542.85712
1869,1868/1869,Unmatured debt payable in foreign currencies,401,Real per capita dollars,4,667.69873
1869,1868/1869,Unmatured debt payable in foreign currencies,401,Real dollars (millions),5,2378.8936
1870,1869/1870,Canada savings bonds,312,Nominal dollars (millions),1,0
1870,1869/1870,Canada savings bonds,312,Percent of GDP,2,0
1870,1869/1870,Canada savings bonds,312,Percent of total revenue,3,0
1870,1869/1870,Canada savings bonds,312,Real per capita dollars,4,0
1870,1869/1870,Canada savings bonds,312,Real dollars (millions),5,0
1870,1869/1870,Cash deficit (+) or surplus (-),530,Nominal dollars (millions),1,2
1870,1869/1870,Cash deficit (+) or surplus (-),530,Percent of GDP,2,0.51219207
1870,1869/1870,Cash deficit (+) or surplus (-),530,Percent of total revenue,3,12.5
1870,1869/1870,Cash deficit (+) or surplus (-),530,Real per capita dollars,4,17.28019
1870,1869/1870,Cash deficit (+) or surplus (-),530,Real dollars (millions),5,62.602467
1870,1869/1870,Financial assets,200,Nominal dollars (millions),1,38
1870,1869/1870,Financial assets,200,Percent of GDP,2,9.7316494
1870,1869/1870,Financial assets,200,Percent of total revenue,3,237.5
1870,1869/1870,Financial assets,200,Real per capita dollars,4,328.32358
1870,1869/1870,Financial assets,200,Real dollars (millions),5,1189.4468
1870,1869/1870,Gross federal debt,300,Nominal dollars (millions),1,116
1870,1869/1870,Gross federal debt,300,Percent of GDP,2,29.70714
1870,1869/1870,Gross federal debt,300,Percent of total revenue,3,725
1870,1869/1870,Gross federal debt,300,Real per capita dollars,4,1002.251
1870,1869/1870,Gross federal debt,300,Real dollars (millions),5,3630.9429
1870,1869/1870,Interest on the debt,521,Nominal dollars (millions),1,5
1870,1869/1870,Interest on the debt,521,Percent of GDP,2,1.2804801
1870,1869/1870,Interest on the debt,521,Percent of total revenue,3,31.25
1870,1869/1870,Interest on the debt,521,Real per capita dollars,4,43.200474
1870,1869/1870,Interest on the debt,521,Real dollars (millions),5,156.50616
1870,1869/1870,Marketable bonds,313,Nominal dollars (millions),1,86
1870,1869/1870,Marketable bonds,313,Percent of GDP,2,22.024258
1870,1869/1870,Marketable bonds,313,Percent of total revenue,3,537.5
1870,1869/1870,Marketable bonds,313,Real per capita dollars,4,743.04816
1870,1869/1870,Marketable bonds,313,Real dollars (millions),5,2691.906
1870,1869/1870,Net federal debt,100,Nominal dollars (millions),1,78
1870,1869/1870,Net federal debt,100,Percent of GDP,2,19.975491
1870,1869/1870,Net federal debt,100,Percent of total revenue,3,487.5
1870,1869/1870,Net federal debt,100,Real per capita dollars,4,673.92737
1870,1869/1870,Net federal debt,100,Real dollars (millions),5,2441.4961
1870,1869/1870,Other liabilities,330,Nominal dollars (millions),1,-86
1870,1869/1870,Other liabilities,330,Percent of GDP,2,-22.024258
1870,1869/1870,Other liabilities,330,Percent of total revenue,3,-537.5
1870,1869/1870,Other liabilities,330,Real per capita dollars,4,-743.04816
1870,1869/1870,Other liabilities,330,Real dollars (millions),5,-2691.906
1870,1869/1870,Superannuation accounts,320,Nominal dollars (millions),1,0
1870,1869/1870,Superannuation accounts,320,Percent of GDP,2,0
1870,1869/1870,Superannuation accounts,320,Percent of total revenue,3,0
1870,1869/1870,Superannuation accounts,320,Real per capita dollars,4,0
1870,1869/1870,Superannuation accounts,320,Real dollars (millions),5,0
1870,1869/1870,Total expenditure,502,Nominal dollars (millions),1,18
1870,1869/1870,Total expenditure,502,Percent of GDP,2,4.6097283
1870,1869/1870,Total expenditure,502,Percent of total revenue,3,112.5
1870,1869/1870,Total expenditure,502,Real per capita dollars,4,155.5217
1870,1869/1870,Total expenditure,502,Real dollars (millions),5,563.42218
1870,1869/1870,Total revenue,501,Nominal dollars (millions),1,16
1870,1869/1870,Total revenue,501,Percent of GDP,2,4.0975366
1870,1869/1870,Total revenue,501,Percent of total revenue,3,100
1870,1869/1870,Total revenue,501,Real per capita dollars,4,138.24152
1870,1869/1870,Total revenue,501,Real dollars (millions),5,500.81973
1870,1869/1870,Treasury bills,311,Nominal dollars (millions),1,0
1870,1869/1870,Treasury bills,311,Percent of GDP,2,0
1870,1869/1870,Treasury bills,311,Percent of total revenue,3,0
1870,1869/1870,Treasury bills,311,Real per capita dollars,4,0
1870,1869/1870,Treasury bills,311,Real dollars (millions),5,0
1870,1869/1870,Unmatured debt,310,Nominal dollars (millions),1,86
1870,1869/1870,Unmatured debt,310,Percent of GDP,2,22.024258
1870,1869/1870,Unmatured debt,310,Percent of total revenue,3,537.5
1870,1869/1870,Unmatured debt,310,Real per capita dollars,4,743.04816
1870,1869/1870,Unmatured debt,310,Real dollars (millions),5,2691.906
1870,1869/1870,Unmatured debt payable in foreign currencies,401,Nominal dollars (millions),1,76
1870,1869/1870,Unmatured debt payable in foreign currencies,401,Percent of GDP,2,19.463299
1870,1869/1870,Unmatured debt payable in foreign currencies,401,Percent of total revenue,3,475
1870,1869/1870,Unmatured debt payable in foreign currencies,401,Real per capita dollars,4,656.64716
1870,1869/1870,Unmatured debt payable in foreign currencies,401,Real dollars (millions),5,2378.8936
1871,1870/1871,Canada savings bonds,312,Nominal dollars (millions),1,0
1871,1870/1871,Canada savings bonds,312,Percent of GDP,2,0
1871,1870/1871,Canada savings bonds,312,Percent of total revenue,3,0
1871,1870/1871,Canada savings bonds,312,Real per capita dollars,4,0
1871,1870/1871,Canada savings bonds,312,Real dollars (millions),5,0
1871,1870/1871,Cash deficit (+) or surplus (-),530,Nominal dollars (millions),1,0
1871,1870/1871,Cash deficit (+) or surplus (-),530,Percent of GDP,2,0
1871,1870/1871,Cash deficit (+) or surplus (-),530,Percent of total revenue,3,0
1871,1870/1871,Cash deficit (+) or surplus (-),530,Real per capita dollars,4,0
1871,1870/1871,Cash deficit (+) or surplus (-),530,Real dollars (millions),5,0
1871,1870/1871,Financial assets,200,Nominal dollars (millions),1,38
1871,1870/1871,Financial assets,200,Percent of GDP,2,9.0208569
1871,1870/1871,Financial assets,200,Percent of total revenue,3,200
1871,1870/1871,Financial assets,200,Real per capita dollars,4,313.34039
1871,1870/1871,Financial assets,200,Real dollars (millions),5,1155.2074
1871,1870/1871,Gross federal debt,300,Nominal dollars (millions),1,116
1871,1870/1871,Gross federal debt,300,Percent of GDP,2,27.537354
1871,1870/1871,Gross federal debt,300,Percent of total revenue,3,610.52631
1871,1870/1871,Gross federal debt,300,Real per capita dollars,4,956.51276
1871,1870/1871,Gross federal debt,300,Real dollars (millions),5,3526.4226
1871,1870/1871,Interest on the debt,521,Nominal dollars (millions),1,5
1871,1870/1871,Interest on the debt,521,Percent of GDP,2,1.1869549
1871,1870/1871,Interest on the debt,521,Percent of total revenue,3,26.31579
1871,1870/1871,Interest on the debt,521,Real per capita dollars,4,41.229
1871,1870/1871,Interest on the debt,521,Real dollars (millions),5,152.00098
1871,1870/1871,Marketable bonds,313,Nominal dollars (millions),1,84
1871,1870/1871,Marketable bonds,313,Percent of GDP,2,19.940842
1871,1870/1871,Marketable bonds,313,Percent of total revenue,3,442.10526
1871,1870/1871,Marketable bonds,313,Real per capita dollars,4,692.64716
1871,1870/1871,Marketable bonds,313,Real dollars (millions),5,2553.6165
1871,1870/1871,Net federal debt,100,Nominal dollars (millions),1,78
1871,1870/1871,Net federal debt,100,Percent of GDP,2,18.516497
1871,1870/1871,Net federal debt,100,Percent of total revenue,3,410.52631
1871,1870/1871,Net federal debt,100,Real per capita dollars,4,643.17236
1871,1870/1871,Net federal debt,100,Real dollars (millions),5,2371.2153
1871,1870/1871,Other liabilities,330,Nominal dollars (millions),1,-84
1871,1870/1871,Other liabilities,330,Percent of GDP,2,-19.940842
1871,1870/1871,Other liabilities,330,Percent of total revenue,3,-442.10526
1871,1870/1871,Other liabilities,330,Real per capita dollars,4,-692.64716
1871,1870/1871,Other liabilities,330,Real dollars (millions),5,-2553.6165
1871,1870/1871,Superannuation accounts,320,Nominal dollars (millions),1,0
1871,1870/1871,Superannuation accounts,320,Percent of GDP,2,0
1871,1870/1871,Superannuation accounts,320,Percent of total revenue,3,0
1871,1870/1871,Superannuation accounts,320,Real per capita dollars,4,0
1871,1870/1871,Superannuation accounts,320,Real dollars (millions),5,0
1871,1870/1871,Total expenditure,502,Nominal dollars (millions),1,19
1871,1870/1871,Total expenditure,502,Percent of GDP,2,4.5104284
1871,1870/1871,Total expenditure,502,Percent of total revenue,3,100
1871,1870/1871,Total expenditure,502,Real per capita dollars,4,156.6702
1871,1870/1871,Total expenditure,502,Real dollars (millions),5,577.6037
1871,1870/1871,Total revenue,501,Nominal dollars (millions),1,19
1871,1870/1871,Total revenue,501,Percent of GDP,2,4.5104284
1871,1870/1871,Total revenue,501,Percent of total revenue,3,100
1871,1870/1871,Total revenue,501,Real per capita dollars,4,156.6702
1871,1870/1871,Total revenue,501,Real dollars (millions),5,577.6037
1871,1870/1871,Treasury bills,311,Nominal dollars (millions),1,0
1871,1870/1871,Treasury bills,311,Percent of GDP,2,0
1871,1870/1871,Treasury bills,311,Percent of total revenue,3,0
1871,1870/1871,Treasury bills,311,Real per capita dollars,4,0
1871,1870/1871,Treasury bills,311,Real dollars (millions),5,0
1871,1870/1871,Unmatured debt,310,Nominal dollars (millions),1,84
1871,1870/1871,Unmatured debt,310,Percent of GDP,2,19.940842
1871,1870/1871,Unmatured debt,310,Percent of total revenue,3,442.10526
1871,1870/1871,Unmatured debt,310,Real per capita dollars,4,692.64716
1871,1870/1871,Unmatured debt,310,Real dollars (millions),5,2553.6165
1871,1870/1871,Unmatured debt payable in foreign currencies,401,Nominal dollars (millions),1,76
1871,1870/1871,Unmatured debt payable in foreign currencies,401,Percent of GDP,2,18.041714
1871,1870/1871,Unmatured debt payable in foreign currencies,401,Percent of total revenue,3,400
1871,1870/1871,Unmatured debt payable in foreign currencies,401,Real per capita dollars,4,626.68079
1871,1870/1871,Unmatured debt payable in foreign currencies,401,Real dollars (millions),5,2310.4148
1872,1871/1872,Canada savings bonds,312,Nominal dollars (millions),1,0
1872,1871/1872,Canada savings bonds,312,Percent of GDP,2,0
1872,1871/1872,Canada savings bonds,312,Percent of total revenue,3,0
1872,1871/1872,Canada savings bonds,312,Real per capita dollars,4,0
1872,1871/1872,Canada savings bonds,312,Real dollars (millions),5,0
1872,1871/1872,Cash deficit (+) or surplus (-),530,Nominal dollars (millions),1,4
1872,1871/1872,Cash deficit (+) or surplus (-),530,Percent of GDP,2,0.87619388
1872,1871/1872,Cash deficit (+) or surplus (-),530,Percent of total revenue,3,19.047619
1872,1871/1872,Cash deficit (+) or surplus (-),530,Real per capita dollars,4,29.664684
1872,1871/1872,Cash deficit (+) or surplus (-),530,Real dollars (millions),5,111.29327
1872,1871/1872,Financial assets,200,Nominal dollars (millions),1,40
1872,1871/1872,Financial assets,200,Percent of GDP,2,8.761939
1872,1871/1872,Financial assets,200,Percent of total revenue,3,190.4762
1872,1871/1872,Financial assets,200,Real per capita dollars,4,296.64685
1872,1871/1872,Financial assets,200,Real dollars (millions),5,1112.9327
1872,1871/1872,Gross federal debt,300,Nominal dollars (millions),1,122
1872,1871/1872,Gross federal debt,300,Percent of GDP,2,26.723913
1872,1871/1872,Gross federal debt,300,Percent of total revenue,3,580.95239
1872,1871/1872,Gross federal debt,300,Real per capita dollars,4,904.77283
1872,1871/1872,Gross federal debt,300,Real dollars (millions),5,3394.4448
1872,1871/1872,Interest on the debt,521,Nominal dollars (millions),1,5
1872,1871/1872,Interest on the debt,521,Percent of GDP,2,1.0952424
1872,1871/1872,Interest on the debt,521,Percent of total revenue,3,23.809525
1872,1871/1872,Interest on the debt,521,Real per capita dollars,4,37.080856
1872,1871/1872,Interest on the debt,521,Real dollars (millions),5,139.11659
1872,1871/1872,Marketable bonds,313,Nominal dollars (millions),1,85
1872,1871/1872,Marketable bonds,313,Percent of GDP,2,18.61912
1872,1871/1872,Marketable bonds,313,Percent of total revenue,3,404.7619
1872,1871/1872,Marketable bonds,313,Real per capita dollars,4,630.37451
1872,1871/1872,Marketable bonds,313,Real dollars (millions),5,2364.9822
1872,1871/1872,Net federal debt,100,Nominal dollars (millions),1,82
1872,1871/1872,Net federal debt,100,Percent of GDP,2,17.961975
1872,1871/1872,Net federal debt,100,Percent of total revenue,3,390.4762
1872,1871/1872,Net federal debt,100,Real per capita dollars,4,608.12604
1872,1871/1872,Net federal debt,100,Real dollars (millions),5,2281.5122
1872,1871/1872,Other liabilities,330,Nominal dollars (millions),1,-85
1872,1871/1872,Other liabilities,330,Percent of GDP,2,-18.61912
1872,1871/1872,Other liabilities,330,Percent of total revenue,3,-404.7619
1872,1871/1872,Other liabilities,330,Real per capita dollars,4,-630.37451
1872,1871/1872,Other liabilities,330,Real dollars (millions),5,-2364.9822
1872,1871/1872,Superannuation accounts,320,Nominal dollars (millions),1,0
1872,1871/1872,Superannuation accounts,320,Percent of GDP,2,0
1872,1871/1872,Superannuation accounts,320,Percent of total revenue,3,0
1872,1871/1872,Superannuation accounts,320,Real per capita dollars,4,0
1872,1871/1872,Superannuation accounts,320,Real dollars (millions),5,0
1872,1871/1872,Total expenditure,502,Nominal dollars (millions),1,25
1872,1871/1872,Total expenditure,502,Percent of GDP,2,5.4762115
1872,1871/1872,Total expenditure,502,Percent of total revenue,3,119.04762
1872,1871/1872,Total expenditure,502,Real per capita dollars,4,185.40427
1872,1871/1872,Total expenditure,502,Real dollars (millions),5,695.58295
1872,1871/1872,Total revenue,501,Nominal dollars (millions),1,21
1872,1871/1872,Total revenue,501,Percent of GDP,2,4.600018
1872,1871/1872,Total revenue,501,Percent of total revenue,3,100
1872,1871/1872,Total revenue,501,Real per capita dollars,4,155.73959
1872,1871/1872,Total revenue,501,Real dollars (millions),5,584.28967
1872,1871/1872,Treasury bills,311,Nominal dollars (millions),1,0
1872,1871/1872,Treasury bills,311,Percent of GDP,2,0
1872,1871/1872,Treasury bills,311,Percent of total revenue,3,0
1872,1871/1872,Treasury bills,311,Real per capita dollars,4,0
1872,1871/1872,Treasury bills,311,Real dollars (millions),5,0
1872,1871/1872,Unmatured debt,310,Nominal dollars (millions),1,85
1872,1871/1872,Unmatured debt,310,Percent of GDP,2,18.61912
1872,1871/1872,Unmatured debt,310,Percent of total revenue,3,404.7619
1872,1871/1872,Unmatured debt,310,Real per capita dollars,4,630.37451
1872,1871/1872,Unmatured debt,310,Real dollars (millions),5,2364.9822
1872,1871/1872,Unmatured debt payable in foreign currencies,401,Nominal dollars (millions),1,76
1872,1871/1872,Unmatured debt payable in foreign currencies,401,Percent of GDP,2,16.647684
1872,1871/1872,Unmatured debt payable in foreign currencies,401,Percent of total revenue,3,361.90475
1872,1871/1872,Unmatured debt payable in foreign currencies,401,Real per capita dollars,4,563.62897
1872,1871/1872,Unmatured debt payable in foreign currencies,401,Real dollars (millions),5,2114.5723
1873,1872/1873,Canada savings bonds,312,Nominal dollars (millions),1,0
1873,1872/1873,Canada savings bonds,312,Percent of GDP,2,0
1873,1872/1873,Canada savings bonds,312,Percent of total revenue,3,0
1873,1872/1873,Canada savings bonds,312,Real per capita dollars,4,0
1873,1872/1873,Canada savings bonds,312,Real dollars (millions),5,0
